Total Operating Hours,Total Employees,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,Cluster_DBSCAN,Cluster_GMM,Cluster_Spectral,Cluster_KMeans
0.0,0.0,17.0,737693.0,3919300.0,1945.0,982.52,13457375.0,0.0,0.0,0.0,1273013.0,0.0,0.0,0.0,14730388.0,0.0,-1,4,3,2
0.0,0.0,7084.0,31986562.0,5666540.0,3519.0,2337.89,4099995.0,712338.0,0.0,1198877.0,18032.0,0.0,0.0,0.0,6029242.0,0.0,-1,3,1,4
0.0,0.0,2750.0,27503884.0,2289420.0,2540.0,644.61,1736508.0,1148925.0,0.0,2448176.0,0.0,0.0,0.0,10456.0,5333609.0,10456.0,-1,3,6,4
0.0,0.0,1926.0,22931261.0,3306990.0,1087.0,982.52,2724801.0,0.0,0.0,356918.0,519503.0,0.0,40242833.0,0.0,3601222.0,40242833.0,0,0,3,0
0.0,0.0,4368.0,38433410.0,2462707.0,720.0,674.72,0.0,75746.0,784951.0,7176335.0,0.0,0.0,56896708.0,455773.0,8037032.0,57352481.0,-1,1,3,6
0.0,0.0,1527.0,27415388.0,1944375.0,428.0,1244.18,4042687.0,563087.0,785061.0,0.0,0.0,0.0,0.0,0.0,5390835.0,0.0,-1,1,3,6
0.0,0.0,1468.0,16057961.0,1332800.0,291.0,467.58,13592.0,588951.0,0.0,3390905.0,0.0,0.0,26971511.0,248377.0,3993448.0,27219888.0,0,3,6,0
0.0,0.0,274.0,12974558.0,3134256.0,226.0,3248.12,0.0,0.0,0.0,0.0,0.0,0.0,93339968.0,0.0,0.0,93339968.0,0,3,1,0
0.0,0.0,642.0,13246035.0,744901.0,289.0,752.28,2684361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684361.0,0.0,0,3,1,0
0.0,0.0,822.0,16084016.0,1168779.0,336.0,516.16,686110.0,104286.0,0.0,3129891.0,0.0,0.0,0.0,53430.0,3920287.0,53430.0,0,3,6,0
0.0,0.0,2436.0,13253542.0,1150833.0,438.0,481.67,2028909.0,442843.0,0.0,0.0,0.0,0.0,3291138.0,1576400.0,2471752.0,4867538.0,-1,0,5,4
0.0,985.0,2640.0,17867018.0,989948.0,1949.0,1898.19,1757611.0,42657.0,1399118.0,0.0,0.0,0.0,0.0,475248.0,3199386.0,475248.0,-1,1,3,6
0.0,938.19,882.0,11566528.0,809275.0,336.0,340.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,997.37,4434.0,27727155.0,2943596.0,435.0,1636.83,0.0,1139493.0,0.0,6050962.0,0.0,0.0,0.0,27519.0,7190455.0,27519.0,-1,3,6,4
0.0,0.0,576.0,14017563.0,1062061.0,495.0,1294.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,810.99,644.0,8285971.0,390144.0,75.0,270.27,134850.0,179356.0,0.0,0.0,1527165.0,0.0,2880880.0,0.0,1841371.0,2880880.0,0,0,3,0
0.0,762.0,458.0,10480508.0,851535.0,664.0,535.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,778.0,696.0,9255644.0,1450191.0,1243.0,968.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,765.0,1076.0,14592978.0,3424477.0,1074.0,1284.83,1817594.0,687.0,629092.0,0.0,0.0,0.0,0.0,0.0,2447373.0,0.0,-1,1,3,6
0.0,902.0,1615.0,13708198.0,511949.0,207.0,271.3,2149462.0,424873.0,0.0,0.0,0.0,0.0,0.0,27415.0,2574335.0,27415.0,0,3,6,0
0.0,805.0,1144.0,14489532.0,1048319.0,1436.0,544.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,671.0,1620.0,11609914.0,1100607.0,304.0,968.94,2142243.0,186593.0,0.0,0.0,0.0,0.0,0.0,170577.0,2328836.0,170577.0,0,3,5,0
0.0,759.0,720.0,7757210.0,693960.0,298.0,291.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,759.03,717.0,8850567.0,703953.0,504.0,584.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
